Sample.ID,Chinook.c.ul,Chinook.c.uL.lower,Chinook.c.uL.upper,Chinook.c.well,Chinook.c.well.lower,Chinook.c.well.upper,C.shasta.c.uL,C.shasta.c.uL.lower,C.shasta.c.uL.upper,C.shasta.c.well,C.shasta.c.well.lower,C.shasta.c.well.upper,Accepted Droplets
I5_G_17,6.14,4.99,7.45,123,99.8,149,469,457,481,9380,9140,9620,18450
I5_GB_01,5.43,4.3,6.75,109,86,135,336,326,347,6724,6520,6940,16499
I5_GB_02,6.57,5.24,8.11,131,104.8,162.2,296,286,306,5924,5720,6120,14544
I5_GB_03,6.51,5.24,7.78,130,104.8,155.6,368,358,379,7364,7160,7580,18304
I5_P_02,2.19,1.5,3.05,43.7,30,61,258,249,266,5153,4980,5320,16688
I5_P_03,6.5,5.27,7.91,130,105.4,158.2,274,265,283,5471,5300,5660,17069
I5_P_04,4.64,3.59,5.87,92.7,71.8,117.4,294,284,303,5875,5680,6060,16271
I5_P_05,5.93,4.7,7.36,119,94,147.2,413,401,426,8268,8020,8520,15323
I5_P_07,6.97,5.66,8.47,139,113.2,169.4,468,455,480,9352,9100,9600,16083
I5_P_08,5.41,4.25,6.78,108,85,135.6,396,385,408,7929,7700,8160,15465
I5_P_09,6.94,5.58,8.31,139,111.6,166.2,521,508,534,10424,10160,10680,16993
I5_P_10,4.74,3.69,5.98,94.8,73.8,119.6,290,280,299,5793,5600,5980,16408
I5_P_11,8.38,6.99,9.77,168,139.8,195.4,408,398,419,8164,7960,8380,19719
I5_P_12,5.05,4.05,6.21,101,81,124.2,504,492,516,10082,9840,10320,19842
I5_P_13,3.04,2.28,3.94,60.7,45.6,78.8,293,285,302,5869,5700,6040,20167
I5_P_14,7.01,5.68,8.53,140,113.6,170.6,646,630,662,12918,12600,13240,15828
I5_P_15,5.53,4.35,6.9,111,87,138,510,497,524,10206,9940,10480,15577
KLM_DI_03,5.38,4.29,6.65,108,85.8,133,4.18,3.23,5.31,83.7,64.6,106.2,17744
KLM_DI_06,3.23,2.41,4.22,64.6,48.2,84.4,2.58,1.86,3.47,51.7,37.2,69.4,18228
KLM_DI_09,2.45,1.75,3.31,49,35,66.2,5.61,4.51,6.88,112,90.2,137.6,18278
KLM_DI_12,6.03,4.86,7.37,121,97.2,147.4,24.2,21.6,26.7,483,432,534,17415
KLM_DI_15,4.52,3.48,5.74,90.3,69.6,114.8,50.3,46.5,54.1,1006,930,1082,16181
KLM_DI_18,3.67,2.79,4.72,73.4,55.8,94.4,54.3,50.6,58,1086,1012,1160,17979
KLM_G_02,15,13.1,16.8,300,262,336,0.954,0.558,1.5,19.1,11.16,30,19748
KLM_G_03,9.92,8.41,11.4,198,168.2,228,0,0,0.178,0,0,3.56,19771
KLM_G_04,19.1,17.1,21.2,383,342,424,0.785,0.44,1.27,15.7,8.8,25.4,21002
KLM_G_05,7.27,5.96,8.59,145,119.2,171.8,1.3,0.82,1.94,26,16.4,38.8,18986
KLM_G_06,27.4,24.9,30,549,498,600,1.15,0.705,1.75,23,14.1,35,19471
KLM_G_07,5.39,4.07,6.96,108,81.4,139.2,7.49,5.92,9.33,150,118.4,186.6,11815
KLM_G_08,7.91,6.55,9.27,158,131,185.4,0,0,0.182,0,0,3.64,19407
KLM_G_09,1.91,1.29,2.72,38.3,25.8,54.4,0.342,0.12,0.742,6.83,2.4,14.84,17227
KLM_G_10,12.3,10.6,14.1,247,212,282,0.328,0.115,0.714,6.57,2.3,14.28,17917
KLM_G_11,6.84,5.57,8.11,137,111.4,162.2,2.15,1.51,2.95,43.1,30.2,59,19146
KLM_G_13,6.94,5.68,8.21,139,113.6,164.2,16,14.1,18,321,282,360,19718
KLM_G_14,8.94,7.37,10.5,179,147.4,210,58,53.9,62,1159,1078,1240,16372
KLM_G_15,16.8,14.8,18.8,337,296,376,140,134,146,2806,2680,2920,19283
KLM_G_16,6.15,4.92,7.57,123,98.4,151.4,111,105,117,2221,2100,2340,16106
KLM_G_17,6.23,5.07,7.55,125,101.4,151,0.444,0.188,0.864,8.87,3.76,17.28,18563
KLM_G_17,14.3,12.4,16.2,287,248,324,78.8,74.3,83.3,1576,1486,1666,18249
KLM_G_19,23,20.6,25.4,459,412,508,140,134,146,2804,2680,2920,18206
KLM_G_20,21.4,19,23.7,427,380,474,132,126,138,2639,2520,2760,18294
KLM_GB_01,8.18,6.65,9.94,164,133,198.8,2.98,2.09,4.08,59.5,41.8,81.6,13849
KLM_GB_03,5.26,4.22,6.44,105,84.4,128.8,0.724,0.386,1.22,14.5,7.72,24.4,19516
KLM_MMM,0,0,0.168,0,0,3.36,0,0,0.168,0,0,3.36,21032
KLM_P_02,8.54,7.12,9.97,171,142.4,199.4,115,110,121,2303,2200,2420,19077
KLM_P_03,6.92,5.64,8.21,138,112.8,164.2,0.124,0.0188,0.399,2.49,0.376,7.98,18915
KLM_P_04,12.6,10.8,14.3,251,216,286,8.03,6.63,9.43,161,132.6,188.6,18531
KLM_P_05,11.7,9.96,13.5,235,199.2,270,0,0,0.211,0,0,4.22,16711
KLM_P_06,6.58,5.34,8.01,132,106.8,160.2,5.46,4.33,6.77,109,86.6,135.4,16850
KLM_P_07,8.97,7.36,10.6,179,147.2,212,0,0,0.225,0,0,4.5,15662
KLM_P_08,8.88,7.35,10.4,178,147,208,2.04,1.39,2.87,40.9,27.8,57.4,17288
KLM_P_09,1.36,0.844,2.05,27.1,16.88,41,3.19,2.36,4.2,63.8,47.2,84,17350
KLM_P_10,3.75,2.81,4.9,75.1,56.2,98,0.9,0.48,1.51,18,9.6,30.2,15691
KLM_P_11,5.38,4.3,6.63,108,86,132.6,3.56,2.7,4.59,71.3,54,91.8,18185
KLM_P_12,0.837,0.459,1.38,16.7,9.18,27.6,8.92,7.43,10.4,178,148.6,208,18273
KLM_P_13,2.6,1.68,3.82,52.1,33.6,76.4,82.9,76.8,89,1658,1536,1780,10406
KLM_P_14,7.84,6.12,9.85,157,122.4,197,76.2,70.4,82.1,1524,1408,1642,10393
KLM_P_15,3.89,2.95,5.01,77.8,59,100.2,169,162,176,3387,3240,3520,16672
KLM_P_16,9.08,7.54,10.6,182,150.8,212,122,116,128,2441,2320,2560,17437
KLM_P_17,2.01,1.37,2.82,40.2,27.4,56.4,59.5,55.5,63.4,1189,1110,1268,17571
KLM_P_18,4.28,3.32,5.41,85.6,66.4,108.2,83,78.3,87.6,1659,1566,1752,17905
KLM_P_19,11.3,9.59,12.9,225,191.8,258,70.9,66.7,75.2,1418,1334,1504,18257
KMN_DI_04,2.05,1.28,3.09,41,25.6,61.8,538,522,555,10768,10440,11100,11475
KMN_DI_07,1.74,1.05,2.68,34.8,21,53.6,522,506,537,10430,10120,10740,12193
KMN_DI_10,2.53,1.69,3.62,50.7,33.8,72.4,447,433,461,8947,8660,9220,12548
KMN_DI_13,3.31,2.42,4.41,66.3,48.4,88.2,721,704,738,14412,14080,14760,15286
KMN_DI_16,3.59,2.69,4.69,71.9,53.8,93.8,565,551,580,11306,11020,11600,16392
KMN_FB_01,0,0,0.196,0,0,3.92,0,0,0.196,0,0,3.92,17989
KMN_FB_02,0,0,0.191,0,0,3.82,0,0,0.191,0,0,3.82,18423
KMN_G_02,5.86,4.68,7.23,117,93.6,144.6,648,633,664,12965,12660,13280,16491
KMN_G_03,0.87,0.477,1.44,17.4,9.54,28.8,97.1,92,102,1942,1840,2040,17581
KMN_G_04,5.69,4.54,7.01,114,90.8,140.2,1110,1088,1132,22195,21760,22640,17003
KMN_G_05,1.88,1.18,2.81,37.6,23.6,56.2,311,300,322,6227,6000,6440,13152
KMN_G_06,3.89,2.9,5.09,77.8,58,101.8,896,876,916,17920,17520,18320,14840
KMN_G_07,4.85,3.75,6.14,97,75,122.8,932,912,953,18644,18240,19060,15560
KMN_G_08,1.56,0.97,2.35,31.2,19.4,47,284,274,294,5682,5480,5880,15087
KMN_G_09,5.39,4.18,6.82,108,83.6,136.4,896,876,917,17922,17520,18340,14207
KMN_G_10,3.84,2.89,4.97,76.7,57.8,99.4,888,869,908,17765,17380,18160,16285
KMN_G_11,4.5,3.45,5.74,90,69,114.8,934,914,955,18689,18280,19100,15709
KMN_G_12,2.38,1.64,3.33,47.7,32.8,66.6,387,375,398,7731,7500,7960,15308
KMN_G_13,3.35,2.43,4.47,66.9,48.6,89.4,686,670,703,13725,13400,14060,14791
KMN_G_14,2.13,1.46,2.97,42.5,29.2,59.4,431,420,443,8625,8400,8860,17162
KMN_G_15,1.77,1.17,2.54,35.4,23.4,50.8,488,476,501,9761,9520,10020,17296
KMN_G_16,0.745,0.355,1.35,14.9,7.1,27,448,435,461,8964,8700,9220,14211
KMN_G_17,4.64,3.58,5.89,92.8,71.6,117.8,887,868,907,17743,17360,18140,16000
KMN_GB_01,0.657,0.327,1.16,13.1,6.54,23.2,173,166,180,3458,3320,3600,17911
KMN_GB_02,2.15,1.49,2.99,43.1,29.8,59.8,747,731,764,14941,14620,15280,17498
KMN_GB_03,1.26,0.764,1.95,25.3,15.28,39,85.7,80.8,90.6,1715,1616,1812,16762
KMN_P_02,2.67,1.88,3.66,53.5,37.6,73.2,657,641,673,13136,12820,13460,15416
KMN_P_03,2.6,1.84,3.55,52,36.8,71,618,603,633,12353,12060,12660,16308
KMN_P_04,3.27,2.4,4.34,65.5,48,86.8,900,880,920,17998,17600,18400,15837
KMN_P_05,1.58,0.993,2.35,31.5,19.86,47,858,840,878,17170,16800,17560,15681
KMN_P_06,1.05,0.588,1.7,20.9,11.76,34,493,480,507,9866,9600,10140,15735
KMN_P_07,1.45,0.889,2.21,29,17.78,44.2,233,224,241,4656,4480,4820,15436
KMN_P_08,1.44,0.881,2.19,28.7,17.62,43.8,367,356,378,7332,7120,7560,15582
KMN_P_09,1.53,0.941,2.34,30.7,18.82,46.8,374,362,385,7474,7240,7700,14577
KMN_P_10,1.68,1.03,2.55,33.5,20.6,51,423,410,436,8451,8200,8720,13342
KMN_P_11,0.849,0.423,1.5,17,8.46,30,447,434,460,8939,8680,9200,13858
KMN_P_12,1.6,0.951,2.49,32,19.02,49.8,385,372,398,7695,7440,7960,12526
KMN_P_13,2.15,1.43,3.1,43.1,28.6,62,951,929,973,19015,18580,19460,14212
KMN_P_14,1.11,0.623,1.8,22.2,12.46,36,594,578,609,11870,11560,12180,14839
KMN_P_15,1.24,0.697,2.02,24.8,13.94,40.4,599,583,615,11979,11660,12300,13267
KMN_P_16,1.26,0.688,2.07,25.1,13.76,41.4,734,715,753,14676,14300,15060,12184
SV_DI_03,0.42,0.15,0.9,8.3,3,18,487.75,473.94,501.72,9754.9,9478.8,10034.4,14155
SV_DI_06,1.65,1.03,2.49,33.1,20.6,49.8,672.86,656,689.96,13457.1,13120,13799.2,14239
SV_DI_09,1.23,0.66,2.08,24.7,13.2,41.6,530.03,513.88,546.41,10600.6,10277.6,10928.2,11439
SV_DI_12,1.14,0.59,1.96,22.8,11.8,39.2,590.81,573.45,608.43,11816.2,11469,12168.6,11335
SV_DI_15,0.1,0,0.47,2,0,9.4,531.02,515.14,547.13,10620.5,10302.8,10942.6,11857
SV_DI_17,0.35,0.11,0.83,7,2.2,16.6,336.18,324.79,347.67,6723.5,6495.8,6953.4,13438
SV_EX_10,1.24,0.677,2.04,24.7,13.54,40.8,264,254,274,5279,5080,5480,12370
SV_FB_01,0,0,0.283,0,0,5.66,0,0,0.283,0,0,5.66,12459
SV_FB_02,0,0,0.223,0,0,4.46,0,0,0.223,0,0,4.46,15834
SV_FB_03,0,0,0.238,0,0,4.76,0,0,0.238,0,0,4.76,14828
SV_G_01,2.19,1.46,3.13,43.8,29.2,62.6,462.32,449.11,475.67,9246.4,8982.2,9513.4,14516
SV_G_02,1.51,0.94,2.27,30.2,18.8,45.4,489.07,475.89,502.39,9781.3,9517.8,10047.8,15606
SV_G_03,1.71,1.08,2.55,34.2,21.6,51,536.67,522.18,551.34,10733.5,10443.6,11026.8,14461
SV_G_04,0.61,0.29,1.11,12.2,5.8,22.2,348.21,337.97,358.55,6964.3,6759.4,7171,17303
SV_G_05,0.65,0.31,1.19,13.1,6.2,23.8,460.48,448,473.1,9209.6,8960,9462,16178
SV_G_06,1.01,0.55,1.67,20.2,11,33.4,530.5,516.45,544.71,10609.9,10329,10894.2,15167
SV_G_07,0.893691659,0.476,1.504,17.9,9.52,30.08,317,307,327,6345,6140,6540,15803
SV_G_08,0.707131684,0.337,1.281,14.1,6.74,25.62,274,264,283,5470,5280,5660,14978
SV_G_09,1.69,1.05,2.54,33.8,21,50.8,483.78,469.94,497.79,9675.7,9398.8,9955.8,13949
SV_G_10,0.925924063,0.478,1.592,18.5,9.56,31.84,367,355,379,7336,7100,7580,13982
SV_G_11,0.177446544,0.027,0.568,3.5,0.54,11.36,317,306,329,6349,6120,6580,13261
SV_G_12,1,0.52,1.72,20,10.4,34.4,769.54,750.22,789.19,15390.8,15004.4,15783.8,12937
SV_G_13,0.96287322,0.513,1.621,19.3,10.26,32.42,399,387,411,7971,7740,8220,14668
SV_G_14,1.69,1.03,2.57,33.7,20.6,51.4,340,329,352,6806,6580,7040,13273
SV_G_15,2.62,1.84,3.59,52.4,36.8,71.8,370,359,381,7404,7180,7620,15728
SV_G_16,2.29,1.56,3.22,45.8,31.2,64.4,292,282,302,5845,5640,6040,15411
SV_G_17,1.73,1.11,2.54,34.5,22.2,50.8,331,321,342,6623,6420,6840,15684
SV_G_18,0.25,0.06,0.65,4.9,1.2,13,608.47,592.75,624.41,12169.4,11855,12488.2,14373
SV_GB_01,6.84,5.56,8.3,136.8,111.2,166,377.76,366.84,388.78,7555.1,7336.8,7775.6,16738
SV_GB_02,1.63,1.05,2.4,32.6,21,48,276.57,267.39,285.82,5531.4,5347.8,5716.4,16597
SV_GB_03,4.85,3.77,6.12,96.9,75.4,122.4,337.86,327.41,348.41,6757.3,6548.2,6968.2,16052
SV_P_01,6.2,5.03,7.55,124,100.6,151,305,296,315,6106,5920,6300,17871
SV_P_02,3.51,2.64,4.54,70.1,52.8,90.8,323,313,333,6458,6260,6660,17810
SV_P_03,1.37,0.829,2.11,27.4,16.58,42.2,315,305,326,6304,6100,6520,15453
SV_P_04,1.34,0.77,2.15,26.9,15.4,43,549.14,533.72,564.76,10982.7,10674.4,11295.2,13135
SV_P_05,2.8,2.01,3.78,56,40.2,75.6,278,269,287,5561,5380,5740,16395
SV_P_06,1.39,0.839,2.14,27.8,16.78,42.8,325,314,335,6494,6280,6700,15267
SV_P_07,3.72,2.79,4.82,74.3,55.8,96.4,322,312,332,6436,6240,6640,16489
SV_P_08,0.53,0.19,1.15,10.6,3.8,23,555.04,538.19,572.14,11100.8,10763.8,11442.8,11127
SV_P_09,1.27,0.68,2.14,25.4,13.6,42.8,1015.74,990.43,1041.61,20314.9,19808.6,20832.2,11135
SV_P_10,1.45,0.889,2.21,29,17.78,44.2,349,338,360,6984,6760,7200,15427
SV_P_11,1.5,0.977,2.19,30.1,19.54,43.8,325,316,335,6501,6320,6700,18793
SV_P_12,0.79,0.38,1.43,15.8,7.6,28.6,709.62,691.67,727.85,14192.4,13833.4,14557,13448
SV_P_13,0.617,0.279,1.16,12.3,5.58,23.2,420,407,432,8392,8140,8640,15264
SV_P_14,1.22,0.647,2.05,24.3,12.94,41,332,320,344,6634,6400,6880,11624
SV_P_15,2.41,1.7,3.31,48.3,34,66.2,570.75,556.88,584.77,11414.9,11137.6,11695.4,17074
SV_P_16,1.09,0.63,1.71,21.7,12.6,34.2,569.33,555.6,583.22,11386.6,11112,11664.4,17352
SV_P_17,1.71,1.1,2.51,34.1,22,50.2,356,345,367,7123,6900,7340,15865
TOH_DI_04,3.63,2.6,4.9,72.6,52,98,336,324,348,6718,6480,6960,12658
TOH_DI_07,4.29,3.23,5.55,85.7,64.6,111,313,302,323,6254,6040,6460,14572
TOH_DI_10,0.697,0.296,1.36,13.9,5.92,27.2,112,105,119,2237,2100,2380,11811
TOH_DI_13,4.58,3.46,5.92,91.6,69.2,118.4,582,566,597,11633,11320,11940,13893
TOH_DI_16,3.69,2.68,4.93,73.9,53.6,98.6,895,874,917,17908,17480,18340,13400
TOH_FB_01,0,0,0.25,0,0,5,0,0,0,0,0,0,13968
TOH_FB_01,0.0684,0.00287,0.327,1.37,0.0574,6.54,0,0,0.205,0,0,4.1,17188
TOH_FB_02,0,0,0.239,0,0,4.78,0,0,0.239,0,0,4.78,14719
TOH_G_02,1.28,0.762,2,25.6,15.24,40,92.1,86.9,97.4,1842,1738,1948,15617
TOH_G_03,2.46,1.72,3.38,49.1,34.4,67.6,178,171,186,3565,3420,3720,16297
TOH_G_04,3.08,2.25,4.08,61.6,45,81.6,145,139,152,2905,2780,3040,16834
TOH_G_05,4.62,3.53,5.92,92.4,70.6,118.4,256,247,266,5126,4940,5320,14798
TOH_G_06,3.25,2.31,4.42,65,46.2,88.4,139,132,146,2782,2640,2920,13417
TOH_G_07,4.25,3.2,5.52,85.1,64,110.4,367,356,379,7347,7120,7580,14404
TOH_G_08,5.06,3.95,6.35,101,79,127,483,470,496,9664,9400,9920,16089
TOH_G_09,4.52,3.47,5.76,90.4,69.4,115.2,473,460,486,9455,9200,9720,15654
TOH_G_10,3.54,2.68,4.57,70.8,53.6,91.4,620,606,634,12396,12120,12680,17972
TOH_G_11,3.31,2.38,4.44,66.1,47.6,88.8,450,437,463,8993,8740,9260,14255
TOH_G_12,7.3,5.9,8.9,146,118,178,880,860,900,17605,17200,18000,14877
TOH_G_13,0.65,0.3,1.22,13.1,6,24.4,127.54,121.05,134.06,2550.7,2421,2681.2,14396
