subsection,Distance Left Bank meters,feet,Depth ,clicks .8,seconds .8,fps.8,clicks .6,seconds .6,fps.6,clicks.2,seconds.2,fps.2,Width Interval,Area,3 point,Q internal,% total,Site
6,12.5,41.0105,5.4,35,30,2.590066667,38,30,2.810546667,39,30,2.88404,4.593176,24.8031504,2.7738,68.79897858,2.917671107,SV
7,14.7,48.228348,5.2,39,30,2.88404,43,30,3.178013333,52,30,3.839453333,7.217848,37.5328096,3.26988,122.7277835,5.204718373,SV
8,16.9,55.446196,6,39,30,2.88404,48,30,3.54548,56,30,4.133426667,7.217848,43.307088,3.527106667,152.7487188,6.477865409,SV
9,18.9,62.007876,6.2,36,30,2.66356,45,30,3.325,66,30,4.86836,6.56168,40.682416,3.54548,144.2386923,6.116966759,SV
10,21.2,69.553808,6.1,52,30,3.839453333,67,30,4.941853333,73,30,5.382813333,7.545932,46.0301852,4.776493333,219.8628727,9.324085395,SV
11,22.9,75.131236,6.3,51,30,3.76596,69,30,5.08884,79,30,5.823773333,5.577428,35.1377964,4.941853333,173.6458363,7.364083739,SV
12,25.1,82.349084,6,53,30,3.912946667,65,30,4.794866667,78,30,5.75028,7.217848,43.307088,4.81324,208.4474082,8.839971072,SV
13,27.1,88.910764,5.3,55,30,4.059933333,72,30,5.30932,86,30,6.338226667,6.56168,34.776904,5.2542,182.724809,7.749110624,SV
14,29.1,95.472444,5,56,30,4.133426667,70,30,5.162333333,82,30,6.044253333,6.56168,32.8084,5.125586667,168.1622976,7.131534322,SV
15,31.3,102.690292,6,56,30,4.133426667,70,30,5.162333333,82,30,6.044253333,7.217848,43.307088,5.125586667,221.9742328,9.413625305,SV
16,34.1,111.876644,4.7,53,30,3.912946667,62,30,4.574386667,94,30,6.926173333,9.186352,43.1758544,4.996973333,215.7485931,9.149604391,SV
17,37.5,123.0315,4,47,30,3.471986667,49,30,3.618973333,60,30,4.4274,11.154856,44.619424,3.784333333,168.8547736,7.160901286,SV
18,41.5,136.15486,2,47,30,3.471986667,49,30,3.618973333,60,30,4.4274,13.12336,26.24672,3.784333333,99.32633739,4.212294874,SV
